timestamp,operation,model,prompt_tokens,output_tokens,total_tokens,details
2026-01-22 07:42:43,오케스트레이션_계획,gemini-3-flash-preview,1110,548,2320,실행계획 수립
2026-01-22 07:42:51,텍스트생성,gemini-3-flash-preview,2122,4,2990,
2026-01-22 07:44:02,텍스트생성,gemini-3-flash-preview,12031,5598,25828,
2026-01-22 07:44:09,입결비교에이전트,gemini-3-flash-preview,2816,38,3836,컨설팅 agent
2026-01-22 07:44:36,최종답변생성,gemini-3-flash-preview,8573,482,12665,Final Agent
2026-01-22 07:44:45,오케스트레이션_계획,gemini-3-flash-preview,1092,248,2134,실행계획 수립
2026-01-22 07:44:54,선생님에이전트,gemini-3-flash-preview,205,585,1406,선생님 agent
2026-01-22 07:45:13,최종답변생성,gemini-3-flash-preview,1741,262,4986,Final Agent
2026-01-22 07:45:48,오케스트레이션_계획,gemini-3-flash-preview,1095,579,2356,실행계획 수립
2026-01-22 07:45:54,텍스트생성,gemini-3-flash-preview,1358,7,2116,
2026-01-22 07:46:13,텍스트생성,gemini-3-flash-preview,8652,670,10827,
2026-01-22 07:46:19,텍스트생성,gemini-3-flash-preview,2069,7,2972,
2026-01-22 07:46:39,텍스트생성,gemini-3-flash-preview,6845,1050,9629,
2026-01-22 07:46:45,입결비교에이전트,gemini-3-flash-preview,2820,38,3840,컨설팅 agent
2026-01-22 07:47:01,최종답변생성,gemini-3-flash-preview,4933,913,7286,Final Agent
2026-01-22 07:48:13,오케스트레이션_계획,gemini-3-flash-preview,1092,307,2050,실행계획 수립
2026-01-22 07:48:23,선생님에이전트,gemini-3-flash-preview,227,717,1570,선생님 agent
2026-01-22 07:48:35,최종답변생성,gemini-3-flash-preview,1913,259,3708,Final Agent
2026-01-22 09:59:40,오케스트레이션_계획,gemini-3-flash-preview,1103,351,2506,실행계획 수립
2026-01-22 09:59:47,텍스트생성,gemini-3-flash-preview,2170,1,2846,
2026-01-22 09:59:57,텍스트생성,gemini-3-flash-preview,6400,248,7477,
2026-01-22 10:00:15,최종답변생성,gemini-3-flash-preview,2597,495,5328,Final Agent
2026-01-22 11:06:19,오케스트레이션_계획,gemini-3-flash-preview,1583,379,2666,실행계획 수립
2026-01-22 11:06:43,텍스트생성,gemini-3-flash-preview,2279,2,5303,
2026-01-22 11:07:55,텍스트생성,gemini-3-flash-preview,10688,461,21481,
2026-01-22 11:08:23,최종답변생성,gemini-3-flash-preview,3647,164,7739,Final Agent
2026-01-22 11:15:10,오케스트레이션_계획,gemini-3-flash-preview,1092,297,1989,실행계획 수립
2026-01-22 11:15:24,선생님에이전트,gemini-3-flash-preview,210,1159,1907,선생님 agent
2026-01-22 11:15:36,최종답변생성,gemini-3-flash-preview,2360,330,4370,Final Agent
2026-01-22 13:05:56,오케스트레이션_계획,gemini-3-flash-preview,1108,487,2487,실행계획 수립
2026-01-22 13:06:01,텍스트생성,gemini-3-flash-preview,2059,1,2456,
2026-01-22 13:06:28,텍스트생성,gemini-3-flash-preview,4989,3026,9790,
2026-01-22 13:06:35,입결비교에이전트,gemini-3-flash-preview,2808,41,3828,컨설팅 agent
2026-01-22 13:06:56,최종답변생성,gemini-3-flash-preview,5417,723,8867,Final Agent
2026-01-22 13:36:20,오케스트레이션_계획,gemini-3-flash-preview,1804,509,2901,실행계획 수립
2026-01-22 13:36:27,텍스트생성,gemini-3-flash-preview,2059,1,2558,
2026-01-22 13:36:47,텍스트생성,gemini-3-flash-preview,4989,1535,8058,
2026-01-22 13:36:55,입결비교에이전트,gemini-3-flash-preview,2808,41,3828,컨설팅 agent
2026-01-22 13:37:15,최종답변생성,gemini-3-flash-preview,4194,920,7290,Final Agent
2026-01-22 14:19:28,오케스트레이션_계획,gemini-3-flash-preview,1106,490,2174,실행계획 수립
2026-01-22 14:19:35,텍스트생성,gemini-3-flash-preview,2133,4,2862,
2026-01-22 14:21:00,텍스트생성,gemini-3-flash-preview,12042,787,23137,
2026-01-22 14:21:08,입결비교에이전트,gemini-3-flash-preview,2810,38,3830,컨설팅 agent
2026-01-22 14:21:35,최종답변생성,gemini-3-flash-preview,3701,361,7793,Final Agent
2026-01-23 19:09:29,오케스트레이션_계획,gemini-2.5-flash-lite,3701,148,3849,실행계획 수립
2026-01-23 19:09:30,최종답변생성,gemini-2.5-flash-lite,1503,57,1560,Final Agent
2026-01-23 19:09:52,오케스트레이션_계획,gemini-2.5-flash-lite,3745,656,4401,실행계획 수립
2026-01-23 19:10:03,입결비교에이전트,gemini-3-flash-preview,5797,1776,7573,컨설팅 agent
2026-01-23 19:10:09,최종답변생성,gemini-2.5-flash-lite,5252,1257,6509,Final Agent
2026-01-23 19:11:04,오케스트레이션_계획,gemini-2.5-flash-lite,4761,803,5564,실행계획 수립
2026-01-23 19:11:08,입결비교에이전트,gemini-3-flash-preview,8832,1644,10476,컨설팅 agent
2026-01-23 19:11:18,텍스트생성,gemini-3-flash-preview,2052,4,3429,
2026-01-23 19:11:40,텍스트생성,gemini-3-flash-preview,5264,1967,8697,
2026-01-23 19:11:49,텍스트생성,gemini-3-flash-preview,1340,7,2528,
2026-01-23 19:12:16,텍스트생성,gemini-3-flash-preview,8633,1071,12304,
2026-01-23 19:12:25,텍스트생성,gemini-3-flash-preview,1992,7,3152,
2026-01-23 19:12:49,텍스트생성,gemini-3-flash-preview,9963,1530,13005,
2026-01-23 19:12:55,텍스트생성,gemini-3-flash-preview,2714,7,3439,
2026-01-23 19:13:22,텍스트생성,gemini-3-flash-preview,4082,1714,8503,
2026-01-23 19:13:26,최종답변생성,gemini-2.5-flash-lite,13583,1008,14591,Final Agent
2026-01-23 19:14:15,오케스트레이션_계획,gemini-2.5-flash-lite,5824,328,6152,실행계획 수립
2026-01-23 19:14:22,텍스트생성,gemini-3-flash-preview,2145,1,2932,
2026-01-23 19:14:46,텍스트생성,gemini-3-flash-preview,7765,1953,11197,
2026-01-23 19:14:53,최종답변생성,gemini-2.5-flash-lite,5098,1188,6286,Final Agent
2026-01-23 19:22:00,오케스트레이션_계획,gemini-2.5-flash-lite,3701,179,3880,실행계획 수립
2026-01-23 19:22:01,선생님에이전트,gemini-3-flash-preview,167,178,345,선생님 agent
2026-01-23 19:22:02,최종답변생성,gemini-2.5-flash-lite,1688,202,1890,Final Agent
2026-01-23 19:22:36,오케스트레이션_계획,gemini-2.5-flash-lite,3889,542,4431,실행계획 수립
2026-01-23 19:22:42,입결비교에이전트,gemini-3-flash-preview,5763,1180,6943,컨설팅 agent
2026-01-23 19:22:47,최종답변생성,gemini-2.5-flash-lite,4726,828,5554,Final Agent
2026-01-23 19:23:18,오케스트레이션_계획,gemini-2.5-flash-lite,3712,299,4011,실행계획 수립
2026-01-23 19:23:23,텍스트생성,gemini-3-flash-preview,2148,1,2707,
2026-01-23 19:24:37,오케스트레이션_계획,gemini-2.5-flash-lite,3708,529,4237,실행계획 수립
2026-01-23 19:24:47,입결비교에이전트,gemini-3-flash-preview,5741,2019,7760,컨설팅 agent
2026-01-23 19:24:53,최종답변생성,gemini-2.5-flash-lite,5372,763,6135,Final Agent
2026-01-23 19:24:55,오케스트레이션_계획,gemini-2.5-flash-lite,3713,373,4086,실행계획 수립
2026-01-23 19:25:10,선생님에이전트,gemini-3-flash-preview,175,2151,2326,선생님 agent
2026-01-23 19:25:14,최종답변생성,gemini-2.5-flash-lite,3842,759,4601,Final Agent
2026-01-23 19:35:52,오케스트레이션_계획,gemini-2.5-flash-lite,3706,246,3952,실행계획 수립
2026-01-23 19:36:03,선생님에이전트,gemini-3-flash-preview,162,1591,1753,선생님 agent
2026-01-23 19:36:05,최종답변생성,gemini-2.5-flash-lite,3169,132,3301,Final Agent
2026-01-23 19:39:00,오케스트레이션_계획,gemini-2.5-flash-lite,3808,80,3888,실행계획 수립
2026-01-23 19:51:30,오케스트레이션_계획,gemini-2.5-flash-lite,3713,403,4116,실행계획 수립
2026-01-23 19:51:43,선생님에이전트,gemini-3-flash-preview,172,1890,2062,선생님 agent
